job_id,company_name,job_task_str,job_task_vec,job_task_codevec,job_task_codestr,job_creat,job_applyon,job_applyoff,job_experience,job_education,job_regular,job_irregular,job_intern,job_period,job_trans,company_foundedyear,job_quota,applicants_total,applicants_male,applicants_female,applicants_age_25below,applicants_age_2630,applicants_age_3135,applicants_age_3640,applicants_age_4145,applicants_age_46above,applicants_edu_nohs,applicants_edu_hs,applicants_edu_sclg,applicants_edu_clg,applicants_edu_grd,company_type_eng,company_type_cat,Industry_Standardized,company_province,company_city,job_field_cat,job_field_catname,job_pay_lower,job_pay_upper,job_weekday,job_dayon,job_dayoff,benefit_insurance_national,benefit_insurance_health,benefit_insurance_employ,benefit_insurance_injury,benefit_insurance_retire,benefit_bonus_retire,benefit_bonus_overtime,benefit_bonus_performance,benefit_bonus_seniority,benefit_bonus_support,benefit_holiday_annual,benefit_holiday_family,benefit_holiday_mother,benefit_holiday_father,benefit_holiday_sick,benefit_edu,benefit_food,benefit_live,benefit_transport
46992057,바이탈에어코리아㈜,Home_Community_Nursing|Patient_Management_Basic_Nursing|Education_Training,"['Home_Community_Nursing', 'Patient_Management_Basic_Nursing', 'Education_Training']","[11, 25, 5]",11|25|5,2025-05-19,2025-05-19,2025-06-18,1,college,1,0,3,0,0,2006,,4.0,1.0,3.0,1,1,2,0,0,0.0,0.0,0.0,0.0,3.0,1.0,foreign,5,Finance_Insurance,Daejeon,,1,Clinical_Nurse,,,5.0,09:00,18:00,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
47066700,유니온동물메디컬센터,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-06-01,2025-06-01,2025-07-31,0,no,1,0,3,0,0,2019,,6.0,3.0,3.0,3,2,0,1,0,0.0,0.0,2.0,3.0,1.0,0.0,small,3,Animal_Pet,Gyeongsangnam-do,Changwon,5,Veterinary,258.0,,5.0,09:00,19:00,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
47028532,일산동물의료원,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-05-26,2025-05-26,2025-06-25,0,high_school,0,1,0,12,1,2005,,4.0,0.0,4.0,1,0,2,0,0,1.0,0.0,3.0,0.0,1.0,0.0,small,3,Animal_Pet,Gyeonggi-do,Goyang,5,Veterinary,,,5.0,08:30,17:00,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
46938725,포인트동물의료센터,Veterinary_Animal_Care|Environment_Safety_Cleaning_Mgmt,"['Veterinary_Animal_Care', 'Environment_Safety_Cleaning_Mgmt']","[35, 7]",35|7,2025-05-10,2025-05-10,2025-06-09,0,high_school,0,1,3,3,1,2020,2.0,53.0,4.0,49.0,34,13,1,4,1,0.0,2.0,30.0,13.0,8.0,0.0,small,3,Animal_Pet,Incheon,Michuhol,5,Veterinary,217.0,,5.0,09:00,18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46948004,의료법인 구암의료재단,Patient_Management_Basic_Nursing,['Patient_Management_Basic_Nursing'],[25],25,2025-05-12,2025-05-12,2025-06-11,0,no,1,0,0,0,0,2014,,2.0,0.0,2.0,1,0,0,0,0,1.0,0.0,2.0,0.0,0.0,0.0,nonprofit,7,Medical_Healthcare,,,1,Clinical_Nurse,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47027833,현대자동차㈜,Environment_Safety_Cleaning_Mgmt|Customer_Patient_Communication_Consultation|Nursing_Assessment_Planning|Education_Training,"['Environment_Safety_Cleaning_Mgmt', 'Customer_Patient_Communication_Consultation', 'Nursing_Assessment_Planning', 'Education_Training']","[7, 3, 21, 5]",7|3|21|5,2025-05-29,2025-05-26,2025-06-08,1,no,0,1,0,0,0,1967,,,,,,,,,,,,,,,,large,1,Other,Ulsan,,1,Clinical_Nurse,,,5.0,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47083963,의료법인대산의료재단,Education_Training,['Education_Training'],[5],5,2025-06-04,2025-06-04,2025-06-30,0,some_college,1,0,0,0,0,2001,,,,,,,,,,,,,,,,midsize,2,Education,Jeollabuk-do,Iksan,1,Clinical_Nurse,,,5.0,,,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
47074960,제주내과의원,,[],[],,2025-06-02,2025-06-02,2025-07-02,0,college,1,0,3,0,0,2016,,,,,,,,,,,,,,,,small,3,Other,Jeju,,1,Clinical_Nurse,,,5.0,06:30,22:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47092952,의료법인 우아의료재단 달동길메리요양병원,Infection_Control_Sterilization,['Infection_Control_Sterilization'],[14],14,2025-06-05,2025-06-05,2025-07-05,1,college,1,0,0,0,0,2017,1.0,,,,,,,,,,,,,,,small,3,Medical_Healthcare,,,1,Clinical_Nurse,,,5.0,09:00,18:00,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47092308,서울라라동물의료센터,Veterinary_Animal_Care|Inventory_Supply_Management,"['Veterinary_Animal_Care', 'Inventory_Supply_Management']","[35, 16]",35|16,2025-06-05,2025-06-05,2025-07-05,0,no,1,0,3,0,0,2025,1.0,4.0,2.0,2.0,4,0,0,0,0,0.0,0.0,3.0,1.0,0.0,0.0,small,3,Animal_Pet,Gyeonggi-do,Seongnam,5,Veterinary,220.0,250.0,5.0,09:30,19:00,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46925875,㈔정해복지부설 한신메디피아,Customer_Patient_Communication_Consultation,['Customer_Patient_Communication_Consultation'],[3],3,2025-05-08,2025-05-08,2025-06-07,0,some_college,0,1,0,0,1,1980,,22.0,2.0,20.0,10,4,4,2,1,1.0,0.0,0.0,3.0,17.0,1.0,midsize,2,Medical_Healthcare,Seoul,Seocho,3,Administration,,,5.0,08:30,17:30,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46858033,부산더존한방병원,,[],[],,2025-04-24,2025-04-24,2025-06-23,0,some_college,1,0,0,0,0,2021,,9.0,1.0,8.0,6,0,0,1,0,2.0,0.0,0.0,3.0,5.0,1.0,small,3,Medical_Healthcare,Busan,,1,Clinical_Nurse,,,5.0,07:00,15:00,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47034218,아이러브펫동물병원,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-05-26,2025-05-26,2025-06-25,0,no,1,0,0,0,0,2013,1.0,20.0,2.0,18.0,10,5,2,1,2,0.0,0.0,6.0,6.0,7.0,1.0,individual,6,Animal_Pet,Gyeonggi-do,Suwon,5,Veterinary,250.0,,,09:00,18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47093347,SK이노베이션,Project_Management_RnD|Emergency_Response_CPR,"['Project_Management_RnD', 'Emergency_Response_CPR']","[28, 6]",28|6,2025-06-05,2025-06-05,2025-06-15,2,some_college,0,1,0,17,0,2007,,,,,,,,,,,,,,,,large,1,Other,Ulsan,,1,Clinical_Nurse,,,5.0,08:30,17:30,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46994035,365하하병원,Surgical_Preparation_Assistance,['Surgical_Preparation_Assistance'],[32],32,2025-05-20,2025-05-20,2025-06-19,0,some_college,1,0,3,0,0,2020,1.0,1.0,0.0,1.0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,small,3,Medical_Healthcare,Seoul,Gangseo,1,Clinical_Nurse,292.0,,,09:00,18:00,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
47021409,일산동물의료원,Veterinary_Animal_Care|Emergency_Response_CPR,"['Veterinary_Animal_Care', 'Emergency_Response_CPR']","[35, 6]",35|6,2025-05-23,2025-05-23,2025-06-22,0,high_school,0,1,0,12,1,2005,,2.0,0.0,2.0,1,0,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,small,3,Medical_Healthcare,Gyeonggi-do,Goyang,5,Veterinary,,,5.0,,,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
47043483,대한산업보건협회,,[],[],,2025-05-28,2025-05-28,2025-06-27,0,some_college,0,1,0,12,0,1963,,4.0,2.0,2.0,2,1,1,0,0,0.0,0.0,0.0,1.0,3.0,0.0,nonprofit,7,Finance_Insurance,Gyeonggi-do,,1,Clinical_Nurse,,,5.0,08:30,17:30,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
47086899,와와동물병원,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-06-04,2025-06-04,2025-07-04,1,high_school,1,0,0,0,0,2000,1.0,2.0,0.0,2.0,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,small,3,Other,Chungcheongbuk-do,Cheongju,5,Veterinary,230.0,250.0,5.0,09:00,18:00,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
47047951,㈜메쥬,Project_Management_RnD|Medical_Testing_Diagnostics,"['Project_Management_RnD', 'Medical_Testing_Diagnostics']","[28, 19]",28|19,2025-05-28,2025-05-28,2025-06-27,1,college,1,0,3,0,0,2018,,5.0,1.0,4.0,1,1,3,0,0,0.0,0.0,0.0,2.0,3.0,0.0,small,3,Finance_Insurance,Gangwon-do,Wonju,4,Tech_Edu,292.0,,5.0,09:00,18:00,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
47077797,동물심장병원 진심,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-06-03,2025-06-03,2025-07-03,0,high_school,1,0,3,0,0,2022,1.0,1.0,0.0,1.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,small,3,Animal_Pet,Chungcheongnam-do,Cheonan,5,Veterinary,,,5.0,09:30,19:00,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
46940310,24시퍼스트동물의료센터,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-05-12,2025-05-12,2025-07-11,0,no,1,0,3,0,0,2021,1.0,21.0,4.0,17.0,8,3,3,4,2,1.0,0.0,12.0,5.0,4.0,0.0,small,3,Animal_Pet,Incheon,Michuhol,5,Veterinary,260.0,,4.0,22:00,09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47043539,메디컬오 스위트(MEDICAL O SUITE),Patient_Management_Basic_Nursing,['Patient_Management_Basic_Nursing'],[25],25,2025-05-28,2025-05-28,2025-06-27,0,some_college,0,1,3,3,1,2023,1.0,,,,,,,,,,,,,,,small,3,Medical_Healthcare,Gyeonggi-do,Hanam,1,Clinical_Nurse,308.0,333.0,1.0,07:00,15:00,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
47051496,포레스트요양병원,Customer_Patient_Communication_Consultation|Sales_Business_Development,"['Customer_Patient_Communication_Consultation', 'Sales_Business_Development']","[3, 31]",3|31,2025-05-29,2025-05-29,2025-07-28,0,no,1,0,0,0,0,2017,,4.0,0.0,4.0,1,1,0,1,1,0.0,0.0,1.0,2.0,1.0,0.0,small,3,Medical_Healthcare,Seoul,Gangnam,3,Administration,375.0,,5.0,09:00,18:00,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
46927473,우아의료재단길메리요양병원,Patient_Management_Basic_Nursing,['Patient_Management_Basic_Nursing'],[25],25,2025-05-08,2025-05-08,2025-06-07,0,some_college,1,0,3,0,0,2011,,2.0,1.0,1.0,1,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,small,3,Medical_Healthcare,,,1,Clinical_Nurse,,,,09:00,18:00,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47059799,의료법인 보듬의료재단,Home_Community_Nursing|Patient_Management_Basic_Nursing,"['Home_Community_Nursing', 'Patient_Management_Basic_Nursing']","[11, 25]",11|25,2025-05-30,2025-05-30,2025-06-29,0,college,1,0,0,0,0,2019,,1.0,0.0,1.0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,small,3,Medical_Healthcare,Jeollanam-do,Yeosu,1,Clinical_Nurse,250.0,,,09:00,18:00,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
46817749,위브동물의료센터,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-04-17,2025-04-17,2025-06-16,0,no,1,0,3,0,0,2022,1.0,10.0,3.0,7.0,2,5,2,1,0,0.0,0.0,5.0,0.0,5.0,0.0,small,3,Animal_Pet,Gyeonggi-do,Gimpo,5,Veterinary,246.0,,5.0,09:30,19:30,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46997416,365매일한방병원안양평촌,Patient_Management_Basic_Nursing,['Patient_Management_Basic_Nursing'],[25],25,2025-05-20,2025-05-20,2025-06-19,0,no,1,0,3,0,0,2022,,3.0,0.0,3.0,2,0,0,0,0,1.0,0.0,0.0,1.0,1.0,1.0,small,3,Medical_Healthcare,Gyeonggi-do,Anyang,1,Clinical_Nurse,,,,07:30,15:30,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
46945424,따뜻한 ON 동물병원,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-05-12,2025-05-12,2025-06-11,0,no,1,0,0,0,0,2015,1.0,15.0,2.0,13.0,7,5,1,2,0,0.0,0.0,6.0,6.0,3.0,0.0,small,3,Medical_Healthcare,Daegu,,5,Veterinary,,,2.0,09:00,18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47092822,의료법인 우아의료재단 달동길메리요양병원,,[],[],,2025-06-05,2025-06-05,2025-07-05,0,some_college,1,0,3,0,0,2017,,1.0,0.0,1.0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,small,3,Medical_Healthcare,,,1,Clinical_Nurse,258.0,375.0,5.0,20:30,08:00,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47048664,헬릭스동물메디컬센터 서초점,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-05-28,2025-05-28,2025-06-27,0,high_school,0,1,2,24,1,2015,2.0,12.0,3.0,9.0,7,3,0,0,1,1.0,0.0,5.0,2.0,5.0,0.0,small,3,Animal_Pet,Seoul,Seocho,5,Veterinary,243.0,,5.0,09:00,07:00,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1
47071700,모델로피부과의원,,[],[],,2025-06-02,2025-06-02,2025-07-02,0,some_college,1,0,3,0,0,2004,1.0,1.0,0.0,1.0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,small,3,Beauty_Cosmetic,Seoul,Gangnam,1,Clinical_Nurse,,,5.0,09:00,18:00,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0
46967209,대구보건대학교병원,Education_Training,['Education_Training'],[5],5,2025-05-15,2025-05-15,2025-06-14,3,college,0,1,0,3,1,2010,1.0,,,,,,,,,,,,,,,nonprofit,7,Medical_Healthcare,Daegu,,4,Tech_Edu,,,6.0,08:30,17:00,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
47094859,24시송도오케이동물의료센터,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-06-05,2025-06-05,2025-07-05,0,no,0,1,0,0,0,,,,,,,,,,,,,,,,,small,3,Medical_Healthcare,Incheon,Yeonsu,5,Veterinary,250.0,250.0,5.0,09:00,19:00,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46953474,모아동물병원,Veterinary_Animal_Care|Inventory_Supply_Management,"['Veterinary_Animal_Care', 'Inventory_Supply_Management']","[35, 16]",35|16,2025-05-13,2025-05-13,2025-06-12,0,no,1,0,3,0,0,,1.0,14.0,1.0,13.0,9,4,1,0,0,0.0,0.0,10.0,2.0,2.0,0.0,small,3,Animal_Pet,Busan,,5,Veterinary,,,5.0,09:30,19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47076927,24시 지구촌동물메디컬센터,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-06-03,2025-06-03,2025-06-08,0,high_school,0,1,3,0,1,2002,1.0,1.0,0.0,1.0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,small,3,Medical_Healthcare,Seoul,Guro,5,Veterinary,275.0,283.0,1.0,22:00,09:00,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47040025,원동물병원,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-05-27,2025-05-27,2025-06-26,1,no,1,0,3,0,0,,,8.0,2.0,6.0,3,3,1,1,0,0.0,0.0,6.0,2.0,0.0,0.0,small,3,Medical_Healthcare,Daegu,,5,Veterinary,,,,09:00,19:00,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
47039886,㈜에임메드,Customer_Patient_Communication_Consultation,['Customer_Patient_Communication_Consultation'],[3],3,2025-05-27,2025-05-27,2025-06-12,3,some_college,1,0,3,0,0,1999,,4.0,0.0,4.0,0,1,0,0,0,3.0,0.0,0.0,1.0,2.0,1.0,small,3,Finance_Insurance,Seoul,Gangnam,3,Administration,,,5.0,09:00,18:00,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0
47037243,한일요양병원,,[],[],,2025-05-27,2025-05-27,2025-06-26,0,no,1,0,0,0,0,,1.0,,,,,,,,,,,,,,,small,3,Medical_Healthcare,Gyeongsangnam-do,Changwon,1,Clinical_Nurse,300.0,317.0,5.0,09:00,18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47024018,더원동물메디컬센터,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-05-24,2025-05-24,2025-06-23,0,no,1,0,0,0,0,,2.0,7.0,2.0,5.0,3,1,1,2,0,0.0,0.0,3.0,2.0,1.0,0.0,small,3,Medical_Healthcare,,,5,Veterinary,210.0,267.0,5.0,22:00,09:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
47085492,중구치매안심센터,,[],[],,2025-06-04,2025-06-04,2025-06-22,0,no,1,0,3,0,0,2013,1.0,,,,,,,,,,,,,,,nonprofit,7,Other,,,1,Clinical_Nurse,,,5.0,09:00,18:00,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
47019659,케어링빌리지 요양원 더평촌,Home_Community_Nursing,['Home_Community_Nursing'],[11],11,2025-05-23,2025-05-23,2025-06-30,1,some_college,1,0,0,0,0,,1.0,2.0,1.0,1.0,0,2,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,nonprofit,7,Other,Gyeonggi-do,Anyang,0,other,333.0,,5.0,09:00,18:00,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46940309,24시퍼스트동물의료센터,Veterinary_Animal_Care,['Veterinary_Animal_Care'],[35],35,2025-05-12,2025-05-12,2025-06-11,0,high_school,1,0,3,0,0,2021,2.0,60.0,5.0,55.0,35,14,4,5,2,0.0,0.0,38.0,15.0,6.0,0.0,small,3,Animal_Pet,Incheon,Michuhol,5,Veterinary,220.0,,5.0,10:00,19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46957865,오로라의원,Beauty_Skin_Esthetics|Dermatology_Medical_Esthetics_Dept|Surgical_Preparation_Assistance,"['Beauty_Skin_Esthetics', 'Dermatology_Medical_Esthetics_Dept', 'Surgical_Preparation_Assistance']","[1, 4, 32]",1|4|32,2025-05-13,2025-05-13,2025-06-12,0,no,1,0,0,0,0,2008,1.0,1.0,0.0,1.0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,small,3,Medical_Healthcare,Seoul,Gangnam,1,Clinical_Nurse,250.0,417.0,5.0,10:00,19:00,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
